id,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Fireplace,Terrace,Terrace area,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building,Compound Listing
20320744,1150,APARTMENT,APARTMENT,575000,residential_sale,3,160,1.0,0.0,0,1.0,40.0,1.0,290.0,290.0,,,0.0,GOOD,single
20324360,2640,APARTMENT,APARTMENT,235000,residential_sale,1,54,1.0,,0,1.0,12.0,,,,,,,,compound
20324359,2640,APARTMENT,APARTMENT,332800,residential_sale,2,95,1.0,,0,1.0,13.0,,,,,,,,compound
20324374,2640,APARTMENT,APARTMENT,380363,residential_sale,2,95,1.0,,0,1.0,13.0,,,,,,,,compound
20324335,2640,APARTMENT,APARTMENT,391388,residential_sale,2,98,1.0,,0,1.0,37.0,,,,,,,,compound
20324344,2640,APARTMENT,APARTMENT,424463,residential_sale,3,105,1.0,,0,1.0,14.0,,,,,,,,compound
20324342,2640,APARTMENT,APARTMENT,589050,residential_sale,3,127,1.0,,0,1.0,17.0,,,,,,,,compound
20324388,9230,APARTMENT,APARTMENT,330000,residential_sale,2,117,1.0,,0,1.0,15.0,,,,,2.0,,,compound
20324129,1000,APARTMENT,FLAT_STUDIO,399000,residential_sale,0,56,1.0,0.0,0,1.0,11.0,,,,,2.0,0.0,,compound
20324124,1000,APARTMENT,LOFT,499000,residential_sale,1,81,1.0,0.0,0,1.0,9.0,,,,,2.0,,AS_NEW,compound
20324136,1000,APARTMENT,APARTMENT,1410000,residential_sale,3,184,1.0,0.0,0,1.0,23.0,,,,,2.0,,AS_NEW,compound
20324115,1000,APARTMENT,APARTMENT,1485000,residential_sale,3,192,1.0,0.0,0,1.0,26.0,,,,,2.0,,AS_NEW,compound
20324724,1160,APARTMENT,GROUND_FLOOR,315000,residential_sale,2,77,1.0,0.0,0,,,1.0,80.0,80.0,,2.0,0.0,GOOD,single
20317705,9000,APARTMENT,APARTMENT,340000,residential_sale,2,85,1.0,0.0,0,1.0,12.0,,,,,2.0,0.0,AS_NEW,compound
20324844,8600,APARTMENT,APARTMENT,354500,residential_sale,2,110,1.0,,0,1.0,,,,,,,,GOOD,compound
20324829,8600,APARTMENT,APARTMENT,425600,residential_sale,3,133,1.0,0.0,0,1.0,,,,,,,,GOOD,compound
20318348,1080,APARTMENT,APARTMENT,346500,residential_sale,3,101,1.0,0.0,0,1.0,7.0,,,,,2.0,0.0,AS_NEW,compound
20318346,1080,APARTMENT,DUPLEX,406500,residential_sale,2,115,1.0,0.0,0,1.0,28.0,1.0,24.0,24.0,,2.0,0.0,AS_NEW,compound
20320287,1000,APARTMENT,APARTMENT,330000,residential_sale,2,92,1.0,,0,,,,,,,4.0,,,compound
20320054,1000,APARTMENT,GROUND_FLOOR,366000,residential_sale,2,99,1.0,,0,1.0,12.0,,,,,4.0,,AS_NEW,compound
20324886,8540,APARTMENT,APARTMENT,345000,residential_sale,2,112,1.0,0.0,0,1.0,9.0,,,,,,,GOOD,compound
20324889,8540,APARTMENT,APARTMENT,424000,residential_sale,3,119,1.0,0.0,0,1.0,21.0,,,,,,,GOOD,compound
20320301,1000,APARTMENT,GROUND_FLOOR,365000,residential_sale,2,100,1.0,,0,1.0,10.0,,,,,3.0,,,compound
20318960,1310,APARTMENT,APARTMENT,1939000,residential_sale,3,264,1.0,0.0,0,1.0,40.0,,,,,3.0,0.0,AS_NEW,compound
20318944,1310,APARTMENT,APARTMENT,2099000,residential_sale,3,300,1.0,0.0,0,1.0,43.0,,,,,,0.0,AS_NEW,compound
20315431,2660,APARTMENT,APARTMENT,229000,residential_sale,3,100,,,0,1.0,26.0,,,,,2.0,,AS_NEW,single
20316238,9800,APARTMENT,APARTMENT,272000,residential_sale,2,88,1.0,0.0,0,1.0,25.0,,,,,,,GOOD,compound
20316180,9800,APARTMENT,APARTMENT,280000,residential_sale,2,91,1.0,0.0,0,1.0,8.0,,,,,,,GOOD,compound
20316214,9800,APARTMENT,APARTMENT,297000,residential_sale,2,97,1.0,0.0,0,1.0,4.0,,,,,,,GOOD,compound
20316179,9800,APARTMENT,APARTMENT,355000,residential_sale,3,142,1.0,0.0,0,1.0,11.0,,,,,,,GOOD,compound
20315772,1730,APARTMENT,DUPLEX,325000,residential_sale,2,102,,0.0,0,1.0,34.0,,,,,2.0,,AS_NEW,compound
20324463,8370,APARTMENT,APARTMENT,299000,residential_sale,3,156,1.0,,0,1.0,,,,,,4.0,,GOOD,single
20313380,2160,APARTMENT,APARTMENT,249000,residential_sale,3,99,1.0,,0,1.0,4.0,,,,,,,GOOD,single
20313186,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313234,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313091,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313133,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313158,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313233,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313070,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313168,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313225,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313067,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313252,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313156,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313107,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313053,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313257,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313075,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313165,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313054,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313259,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
